profile_id;profile_name;favorite;gender;province;city;birthdate;age;dt_online;is_fake;profile_image;hot;city_id;aboutme;relationship;length;looking_for
4294;GeileAnne;1481;Vrouw;;;1967-05-15;58;2025-10-03 10:06:09;https://16hl07csd16.nl/cdn/;https://16hl07csd16.nl/cdn/pics/94/4294/4294/37d6_300x300_0.jpg;X;1;Op zoek naar nieuwe ervaringen!;Gescheiden;165-170;Man
4164;MissStefanie;1475;Vrouw;;;1974-03-14;51;2025-10-03 09:59:07;1;https://16hl07csd16.nl/cdn/pics/64/4164/4164/3754_300x300_0.jpg;X;1;Ik heb een seksvriend nodig!;Vrijgezel;170-175;Man
4149;benenwijd;1465;Vrouw;;;1981-07-09;44;2025-10-03 10:08:11;1;https://16hl07csd16.nl/cdn/pics/49/4149/4149/3745_300x300_0.jpg;X;1;Ik ben een geile meid die op zoek is naar een geile man. Wil jij mijn knuffelbeer zijn ?Wie niet waagt wie niet wint toch? Nou onder dit motto heb ik dit profiel hier maar aangemaakt. Ik hoop dat het me nu toch ook wel eindelijk zal gaan lukken hier een leuke vaste sex partner te vinden.;Vrijgezel;170-175;Man
4881;Seline76;1338;Vrouw;;;1976-08-04;49;2025-10-03 09:48:07;1;https://16hl07csd16.nl/cdn/pics/81/4881/4881/3a21_300x300_0.jpg;X;1;Welgesteld;Vrijgezel;165-170;Man
3662;Veerlekend79;1309;Vrouw;;;1979-02-14;46;2025-10-03 10:08:11;1;https://16hl07csd16.nl/cdn/pics/62/3662/3662/355e_300x300_0.jpg;X;1;Er wordt toch altijd gezegd dat mannen het zwakke geslacht zijn? Wat een kolder zeg! Ik ben een vrouw en denk de hele dag door aan seks. Wanneer ik een man zie, dan kleed ik die met mijn ogen uit en in gedachten ben ik dan al wild zijn lul aan het berijden. Dus wie denkt er nu aan een ding, ik toch zeker? Als ik een lul had liep ik die achterna, bij gebrek aan een lul zoek ik er een.;Vrijgezel;165-170;Man
4896;KnufjeHilda;1287;Vrouw;;;1965-08-07;60;2025-10-03 10:05:14;1;https://16hl07csd16.nl/cdn/pics/96/4896/4896/3a30_300x300_0.jpg;X;1;Na de dood van mijn man heb ik me wat teruggetrokken. Ik leef liever alleen met zo min mogelijk mensen om mij heen. Het enige wat ik mis is de seks. Zou jij met deze rijke weduwe eens het bed willen delen voor een avondje?;Weduwe/Weduwnaar;170-175;Man
4171;Uitopsex;1245;Vrouw;;;1973-01-01;52;2025-10-03 10:08:11;1;https://16hl07csd16.nl/cdn/pics/71/4171/4171/375b_300x300_0.jpg;X;1;Easy going, outgoing, open minded... lang, slank en blond. Eigenzinnig, onconventioneel, hou niet van gebaande paden. Variatie, uitdaging, onverwachte wendingen, heerlijk! Op zoek naar een leuke sexvriend of een aanspreken stel. Aantrekkingskracht moet niet alleen fysiek zijn.;Vrijgezel;175-180;Man
10903;TweeVriendinnen;1222;Vrouw;;;1966-10-13;58;2025-10-03 10:00:14;1;https://16hl07csd16.nl/cdn/pics/3/903/10903/51a7_300x300_0.jpg;X;1;Wij zijn 2 vriendinnen die regelmatig met elkaar spelen omdat we dan geen man in de buurt hebben. Nu hadden we dus beiden het idee om een man erbij te zoeken die ons beiden zou kunnen verwennen. Dit graag regelmatig dus niet eenmalig!;Gescheiden;170-175;Man
4328;Frederickje;1221;Vrouw;;;1972-05-16;53;2025-10-03 09:21:10;1;https://16hl07csd16.nl/cdn/pics/28/4328/4328/37f8_300x300_0.jpg;X;1;Hot mamma zoekt een super lekkere vent om mee los te kunnen gaan. Kan jij iemand aan, die dan erg veel zin heeft in meer! hoe lang kan jij het volhouden?;Vrijgezel;170-175;Man
4735;diamantlove;1193;Vrouw;;;1970-05-17;55;2025-10-03 10:01:12;1;https://16hl07csd16.nl/cdn/pics/35/4735/4735/398f_300x300_0.jpg;X;1;Knuffelen en strelen vind ik echt een heerlijk voorspel. Ik hou van afwisseling en laat me graag lekker verwennen, toch zul je bij mij niets te kort komen want je word natuurlijk heerlijk terug verwend door mij. Ook kun je alles aan me kwijt, heb je al tijden een fantasie ik je hoofd, dan kun je me die gewoon vertellen.;Vrijgezel;170-175;Man
5109;Secretlover69;1164;Vrouw;;;1969-10-06;55;2025-10-03 09:59:07;1;https://16hl07csd16.nl/cdn/pics/9/5109/5109/3b05_300x300_0.jpg;X;1;Hoe zou het zijn om de maitresse van iemand te zijn? Zoek je die? Dan ben ik misschien wel iets voor je en weet zeker dat ik je heel goed en lekker kan verwennen. Ik ben heel erg openminded en hoef zelf nergens naar te kijken.Discretie is uiteraard geboden.;Gescheiden;170-175;Man
555328;Sexdoel;1150;Vrouw;;;2004-12-08;20;2025-10-03 09:10:14;1;https://16hl07csd16.nl/cdn/pics/28/5328/555328/8a050_300x300_0.jpg;X;1;"Tjee wat duur hier zeg! Ik ga een handjevol credits kopen, en dan wil ik snel actie tussen de lakens! 
Ik kom hier niet voor praatjes, maar voor het vullen van mijn gaatjes! 
Even een kort en duidelijk bericht aub!";Vrijgezel;160-165;Man
4804;Mannengekk;1115;Vrouw;;;1963-06-20;62;2025-10-03 10:04:14;1;https://16hl07csd16.nl/cdn/pics/4/4804/4804/39d4_300x300_0.jpg;X;1;Ik speel al een poos met het idee vreemd te gaan en dat vormt zich steeds vaster in mijn hoofd. Ik ben gelukkig getrouwd maar het idee om het een keer stiekem te doen vind ik spannend en daar kan ik opgewonden van raken. Helemaal als ik fantaseer wat er tussen ons kan gebeuren;Gehuwd;165-170;Man
4699;Lotteschoon;1045;Vrouw;;;1977-08-07;48;2025-10-03 09:45:13;1;https://16hl07csd16.nl/cdn/pics/99/4699/4699/396b_300x300_0.jpg;X;1;Zo ik heb jou net een mailtje gestuurd, ik hoop echt heel snel wat van jou te horen!!;Weduwe/Weduwnaar;160-165;Man
